confidence_threshold,iou_threshold,tp,fp,fn,precision,recall,f1,mean_matched_iou
0,0.5,254,193,5,0.5682326621923938,0.9806949806949807,0.7195467422096318,0.8726313987562174
0.01,0.5,254,193,5,0.5682326621923938,0.9806949806949807,0.7195467422096318,0.8726313987562174
0.03,0.5,254,193,5,0.5682326621923938,0.9806949806949807,0.7195467422096318,0.8726313987562174
0.05,0.5,254,193,5,0.5682326621923938,0.9806949806949807,0.7195467422096318,0.8726313987562174
0.08,0.5,254,193,5,0.5682326621923938,0.9806949806949807,0.7195467422096318,0.8726313987562174
0.1,0.5,254,193,5,0.5682326621923938,0.9806949806949807,0.7195467422096318,0.8726313987562174
0.25,0.5,251,33,8,0.8838028169014085,0.9691119691119691,0.9244935543278083,0.8761663684703191
0.5,0.5,240,0,19,1.0,0.9266409266409267,0.9619238476953909,0.8831909096965501
0.75,0.5,218,0,41,1.0,0.8416988416988417,0.9140461215932913,0.8874737771989766
